# Polish name -> USDA FoodData Central fdcId mapping.
#
# Hand-curated, script-assisted. This file decides BOTH which USDA entries end up in the
# bundled nutrition subset AND what they are called in the Polish UI. `scripts/build-nutrition.mjs`
# joins it against the FDC Foundation + SR Legacy downloads and writes src/lib/nutrition/ingredients.json.
#
# Tab-separated, four columns; `#` starts a comment, blank lines are ignored.
#
#   fdcId  name (Polish)  aliases (| separated, may be empty)  state (raw|cooked, default raw)
#
# `state` follows the USDA entry, not the shopping basket: "cooked" means the per-100 g values
# describe the food after cooking. 300 g of raw rice is not 300 g of cooked rice, so both exist
# as separate rows wherever the difference matters.
#
# Keep rows sorted inside their section and never reuse an fdcId: it is the ingredient's identity
# (`usda:<fdcId>`) and planned meals reference it forever.

## Nabial i jaja / Dairy and eggs

170011	Groszek cukrowy gotowany	groszek cukrowy gotowany	cooked
170018	Marchewka z groszkiem	marchewka z groszkiem	cooked
170427	Papryka zielona	papryka zielona	raw
170428	Papryka zielona gotowana	papryka zielona gotowana	cooked
170108	Papryka czerwona	papryka|papryka czerwona	raw
170110	Papryka czerwona gotowana	papryka czerwona gotowana	cooked
169383	Papryka żółta	papryka zolta	raw
170106	Papryka chili czerwona	chili|papryczka chili	raw
170497	Papryka chili zielona	chili zielone	raw
168576	Papryczki jalapeño	jalapeno	raw
168570	Papryczki chili suszone	chili suszone	raw
169373	Papryka czerwona suszona	papryka suszona	raw
168559	Pimento konserwowe	pimento	cooked
169961	Fasolka szparagowa	fasolka szparagowa|fasolka zielona	raw
169141	Fasolka szparagowa gotowana	fasolka szparagowa gotowana	cooked
169963	Fasolka szparagowa mrożona	fasolka szparagowa mrozona	cooked
169320	Fasolka szparagowa żółta	fasolka zolta	raw
169322	Fasolka szparagowa żółta gotowana	fasolka zolta gotowana	cooked
170026	Ziemniaki	ziemniak|ziemniaki|kartofle	raw
170440	Ziemniaki gotowane	ziemniaki gotowane|kartofle gotowane	cooked
170438	Ziemniaki gotowane w mundurkach	ziemniaki w mundurkach	cooked
170093	Ziemniaki pieczone	ziemniaki pieczone	cooked
170493	Puree ziemniaczane	puree ziemniaczane|ziemniaki tluczone	cooked
170092	Placki ziemniaczane	placki ziemniaczane	cooked
170118	Frytki z piekarnika	frytki	cooked
168442	Frytki mrożone	frytki mrozone	raw
170036	Placki hash brown	hash brown	cooked
170444	Ziemniaki konserwowe	ziemniaki z puszki	cooked
170029	Ziemniaki czerwone	ziemniaki czerwone	raw
170027	Ziemniaki russet	ziemniaki russet	raw
168446	Mąka ziemniaczana	maka ziemniaczana|skrobia ziemniaczana	raw
168448	Dynia	dynia	raw
168449	Dynia gotowana	dynia gotowana	cooked
168450	Dynia z puszki	dynia z puszki	cooked
169295	Dynia piżmowa	dynia pizmowa|butternut	raw
169296	Dynia piżmowa pieczona	dynia butternut pieczona	cooked
169298	Dynia makaronowa	dynia makaronowa	raw
169299	Dynia makaronowa gotowana	dynia makaronowa gotowana	cooked
169276	Rzodkiewka	rzodkiewka|rzodkiewki	raw
168451	Rzodkiew biała	rzodkiew biala|daikon	raw
170465	Rzepa	rzepa	raw
170058	Rzepa gotowana	rzepa gotowana	cooked
170061	Nać rzepy	nac rzepy	raw
168462	Szpinak	szpinak	raw
168463	Szpinak gotowany	szpinak gotowany	cooked
169288	Szpinak mrożony	szpinak mrozony	cooked
169291	Cukinia	cukinia	raw
169292	Cukinia gotowana	cukinia gotowana	cooked
168464	Kabaczek żółty	kabaczek zolty	raw
170487	Kabaczek	kabaczek	raw
168472	Dynia żołędziowa	dynia zoledziowa|acorn	raw
169293	Dynia żołędziowa pieczona	dynia zoledziowa pieczona	cooked
168482	Bataty	batat|bataty|slodkie ziemniaki	raw
168483	Bataty pieczone	bataty pieczone	cooked
168484	Bataty gotowane	bataty gotowane	cooked
170457	Pomidory	pomidor|pomidory	raw
170050	Pomidory gotowane	pomidory gotowane	cooked
321360	Pomidorki koktajlowe	pomidorki koktajlowe|pomidorki cherry	raw
1999634	Pomidory roma	pomidory roma	raw
170456	Pomidory zielone	pomidory zielone	raw
170051	Pomidory z puszki	pomidory z puszki	cooked
170501	Pomidory krojone z puszki	pomidory krojone|pomidory rozdrobnione	cooked
170460	Passata pomidorowa	passata|przecier pomidorowy	cooked
170459	Koncentrat pomidorowy	koncentrat pomidorowy	cooked
169074	Sos pomidorowy	sos pomidorowy	cooked
168567	Pomidory suszone	pomidory suszone	raw
169384	Pomidory suszone w oleju	pomidory suszone w oleju	raw
170545	Sok pomidorowy	sok pomidorowy	raw
168556	Ketchup	keczup|ketchup	raw
168566	Tomatillo	tomatillo	raw
169308	Taro	taro	raw
168486	Taro gotowane	taro gotowane	cooked
170071	Pochrzyn	pochrzyn|jam	raw
170072	Pochrzyn gotowany	pochrzyn gotowany	cooked
170073	Jicama	jicama	raw
170066	Kasztany wodne	kasztany wodne	raw
168583	Wasabi korzeń	wasabi	raw
168458	Nori	nori|glony nori	raw
170496	Wakame	wakame	raw
168457	Listownica kelp	kelp|listownica	raw
170495	Spirulina suszona	spirulina	raw
170471	Mieszanka warzywna mrożona	warzywa mrozone|mieszanka warzywna	raw
170472	Mieszanka warzywna gotowana	warzywa mrozone gotowane	cooked
170065	Warzywa konserwowe	warzywa z puszki	cooked
169985	Maniok	maniok|kassawa	raw
2512377	Mąka z manioku	maka z manioku	raw
169282	Soja zielona	soja zielona	raw
